ID	notation	subtitle	description	citation	fundamentals.*	attachments.*	templates.*
R001	D	Depreciation known as Capital Consumption in the National Account System (NAS)	NA	"Heading: MathDIY fundamentals, subtitle: Depreciation known as Capital Consumption. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-05-2020, 4:59 pm UTC)"	*.recapitulation	NA	NA
D001	D(E)	Depreciation on fixed and current assets in Enterprises indexed with (E)	The depreciation represents the value consumption of goods and impairments of current assets in the Enterprise (E). There are various depreciation methods which are based on legal basis (accounting depreciation, yearly) and on empirical values (calculated depreciation, monthly). Depreciation is spread over the duration of use and represents a regular expense that reflects the continuous loss of value, while impairments represent one-time or unexpected expense that reflect an unscheduled loss of value that was caused by an event (damage, theft, bad debts, outstanding bills, dubious increases on the stock exchange) that lead to a new and continuous status (through legal valuation and factoring).	"Heading: MathDIY fundamentals, subtitle: Depreciation on fixed and current assets. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-05-2020, 5:30 pm UTC)"	*.depreciation	NA	NA
D002	d[n] ∨ d[t] 	Duration of use	Divisor to determine depreciation according to the acquisition and manufacturing costs. The result is always a yearly depreciation amount. The number of mathematical terms in a finite series is determined by the duration of use in n-times.	"Heading: MathDIY fundamentals, subtitle: Duration of use. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-05-2020, 6:25 pm UTC)"	*.depreciation	NA	NA
D003	d[r] ∨ d[i] 	Rate of Depreciation	Constant percentage to determine degressive depreciation based on residual value. The result is always a different depreciation amount. By the end of the duration of use, the acquisition and manufacturing costs will only be amortized to a residual value.	"Heading: MathDIY fundamentals, subtitle: Rate of Depreciation. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-05-2020, 6:27 pm UTC)"	*.depreciation	NA	NA
D004	D(E) ⎮§§⎮:= Di ⎮€, $⎮ 	Depreciation, legally required indexed with for i to n 	Depreciation according to the principles of proper accounting, e.g. lowest value principle, double-entry accounting	"Heading: MathDIY fundamentals, subtitle: Legally required depreciation. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-12-2020, 6:44 pm UTC)"	*.depreciation	NA	NA
D005	D(E) ⎮p⎮:= Di ⎮∆p⎮	Depreciation, implicit indexed with for i to n	Depreciation according to the internal transfer pricing system (ITPS), e.g. internal cost allocation, analysis and control 	"Heading: MathDIY fundamentals, subtitle: Implicit depreciation. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-12-2020, 6:44 pm UTC)"	*.depreciation	NA	NA
D006	"Di  := ⎮ac⎮ : d[n]
rn (ac) = 0 := ⎮ac⎮ - (D0 - … - Dn)"	Depreciation, linear	With linear depreciation, the absolute depreciation amounts are spread equally over the legal duration of use known as d[n]. The linear depreciation is the easiest method to calculate. It is assumed that the amount of acquisition or factory costs (asset cost) is used equally stressed (distributed) over the required period (n).	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D007	"ri  := (Di  x 100) : d[r]
Di = ri  x d[r] : 100
D0 = ⎮ac⎮  x d[r] : 100
r0 = ⎮ac⎮  - D0
r1 = r0  - D1 
rn > 0 := ⎮ac⎮ - [D0 +… + Dn]"	"Depreciation, 
geometrically-degressive "	With geometrically-degressive depreciation, the depreciation amounts are calculated from the residual book value of the respective year. This creates an annual depreciation amount. A fixed depreciation rate known as d[r] is used for the calculation.	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D008	"ai ⎮D(E)⎮ = a1  - (i - 1)d
d = ai+1 - ai ∧ i:=n ∨ n:=d[n]
sn ⎮∑D⎮ = a1 + a2 + … + an
sn ⎮∑D⎮ = na1 + [n(n-1): 2]d = n[(a1 + an):2] 
rn := ⎮ac⎮- (D1 + D2 + … + Dn)"	"Depreciation, 
arithmetically-degressive "	With arithmetically-degressive depreciation, the depreciation amount per year of use falls by the same amount (difference). An arithmetic series must be formed to perform the calculation. From this series, the amount of D(E) by which the depreciation amount (d = ai+1 - ai) falls annually can be determined.	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D009	D(d) ⎮bps, flops, Hz⎮	Depreciation, digital indexed with demands in parenthesis 	With digital depreciation by demands, the sums are divided according to their demands (outputs) – e.g. flops (Floating Point Operations Per Second), Hertz (Number of repetitive processes per second in a periodic signal) –  similar to a loan (credits) in which the interest rate (i) is only due on the remaining amount (debits).	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D010	D(o) ⎮bps, flops, Hz⎮	Depreciation, digital indexed with offers in parenthesis 	With digital depreciation by offers, the sums are divided according to their offers (inputs) – e.g. flops (Floating Point Operations Per Second), Hertz (Number of repetitive processes per second in a periodic signal) –  similar to a loan (credits) in which the interest rate (i) is only due on the remaining amount (debits).	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D011	"ri  := (Di  x 100) : d[r]
Di = ri  x d[r] : 100
D0 = ⎮ac⎮  x d[r] : 100
D1 = D0  x (1+ d[r] : 100)
Dn = D1  x (1+ d[r] : 100)
∑D(E) = D0  + (D1 + …+ Dn)
r0 = ⎮ac⎮ - D0
r1 = r0  - D1 
rn > 0 := ⎮ac⎮ - D0 - (D1 + …+ Dn)"	"Depreciation, 
geometrically-progressive "	With geometrically-progressive depreciation, the depreciation amounts increase in each year of use. This method is hardly used. The calculation is based on a constant depreciation rate known as d[r].	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D012	"ai ⎮D(E)⎮ = a1  + (i - 1)d
d = - ai+1 - ai ∧ i:=n ∨ n:=d[n]
sn ⎮∑D⎮ = a1 + a2 + … + an
sn ⎮∑D⎮ = na1 + [n(n-1): 2]d = n[(a1 + an):2] 
rn := ⎮ac⎮- (D1 + D2 + … + Dn)"	"Depreciation, 
arithmetically-progressive "	With arithmetically-progressive depreciation, the depreciation amounts increase in each year of use. A linear increase as with arithmetically degressive depreciation is assumed.	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
D013	D(E) ⎮miles, kWh, rps, revs⎮ 	Depreciation, performance-based	The performance-based depreciation best shows the actual wear of the asset. The calculation is based on the share (conversion) of the total runtime (miles, kWh) or rotational frequency (rps, revs) of the accounting period to the total performance (limitation) of the system or full capacity of the machines.	"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)"	*.depreciation	NA	NA
W001	W(N)	Water as a free good indexed with Nature (N) in parenthesis, e.g. natural basin, frozen water	Water as a free good is the economic equivalent to the chemical compound H2O (water) from the elements Hydrogen and Oxygen. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W002	W(G)	available Water from the depth indexed with Ground in parenthesis (G) as factor of production, e.g. stream-ground, drink-water	Water as a factor of production is the economic equivalent to the chemical compound H2O from the elements Hydrogen and Oxygen. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W003	W [S]	available Surface Water measured with S (Save)	Water as a protected resource in the National Account System (NAS) with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W004	W (HS)	Water from Hot Springs	Water as a thermal sources or heat storage in the National Account System (NAS) with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W005	W (R1)	Water Supply by  Rainfall	Water as an estimated or actual rainfall that should affect the value of water rights. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W006	W (R2)	"Water Supply
by Deposit in Barrel (bl.) = 158,987 Litres"	The amount of water actually made available for the corresponding value chain. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W007	W (R3)	Water Rights on Stock Exchange per one Million Litres	The current price fee) of the legal right on the stock exchange (water trading) to consume one Million Litres of total Water Supply. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W008	W [C]	Water measured in Consumption	The actual Consumption of Water. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W009	W [Cs]	Water measured in  Circulation of Speed of the Water	The Circulation of Speed of the Water with the water is processed in the specific Infrastructure. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W010	W2 -W1 > 0	Water Treatment with indexed number of reporting period	Water Creation (increase) from one reporting period to another of the National Account System with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W011	W2 -W1 < 0	Water Wastage with indexed number of reporting period	Water Damage (decrease) from one reporting period to another of the National Account System with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
W012	W [p]	Price of Water	Price [p] as a qualified value for Water measured with a national currency or reserve currency. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).	"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)"	.water	NA	NA
